Kod produktu,active,stock,price,Nazwa produktu,Kondycja|797|select,Producent|798|select,Model|799|text,Seria procesora|800|select,Stan ekranu|801|text,Stan obudowy|802|text,Procesor|803|select,Ilość rdzeni|805|select,Ilość pamięci RAM|806|select,Dysk|808|select,Licencja|811|select,Ekran dotykowy|814|select,Rozdzielczość ekranu|815|select,Przekątna ekranu|816|select,Rodzaj karty graficznej|818|select,Bateria|823|select,Zainstalowany system|1078|select,1,2,3,4
5278,1,15,499,"Laptop HP ProBook 430 G3 i5 - 6200U | 8GB 120GB 320GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",HP,ProBook 430 G3,Intel Core i5,Możliwe poświatki/otarcia na matrycy,"Normalne,delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,120GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
5316,1,20,499,"Laptop Fujitsu LifeBook E734 i5 - 4300M | 8GB 240GB SSD | 13,3"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Fujitsu,LifeBook E734,Intel Core i5,"Możliwe drobne poświatki, ryski/otarcia","Normalne, delikatne ślady użytkowania, profesjonalny skin na klapie","i5 - 4300M 3MB Cache, 4 gen.",2,8GB,240GB,Windows 8.1 PRO,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,a,b,a,
5810,1,20,499,"Laptop HP ProBook 430 G3 i3 - 6100U | 8GB 120GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ProBook 430 G3,Intel Core i5,Bez wad,"Normalne,delikatne ślady użytkowania","i3 - 6100U, 3MB Cache, 6 gen.",2,8GB,120GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
3987,1,15,500,"Laptop Toshiba Portege R30-A i3 - 4000M | 8GB 240GB SSD | 13,3"" 1366 x 768 | Windows 10 Home [A]","""A"" poleasingowy, przetestowany",Toshiba,Portege R30-A,Intel Core i3,Bez wad,"Normalne ślady użytkowania, możliwy skin na klapie","i3 - 4000M, 3MB Cache, 4 gen.",2,8GB,240GB,Windows 8 Home,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Home,a,b,a,
5654,1,10,599,"Laptop Lenovo ThinkPad 13 20J1 i5 - 7200U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad 13 20J1,Intel Core i5,"Klasa ""A-"", otarcia/ryski od klawiatury","Normalne ślady użytkowania, na klapie i palmreście możliwy profesjonalny skin","i5 - 7200U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,a,b,a,
4475,1,15,599,"Laptop HP ProBook 430 G3 i5 - 6200U | 8GB 120GB 320GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Professional [A]","""A"" poleasingowy, przetestowany",HP,ProBook 430 G3,Intel Core i5,"""A"" Bez wad matrycy","Normalne,delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,120GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
5249,1,17,649,"Laptop Fujitsu LifeBook T936 i5 - 6300U | 8GB 240GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Fujitsu,LifeBook T936,Intel Core i5,"Możliwe drobne ryski,  otarcia, poświatki","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Tak,1920 x 1080,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
6199,1,17,649,"Laptop HP ProBook 430 G5 i5 - 8250U | 8GB 240GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ProBook 430 G5,Intel Core i5,"Występują drobne ryski, otarcia, poświatki",Normalne ślady użytkowania,"i5 - 8250U, 6MB Cache, 8 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 2h (używana)",Windows 10 Professional,a,b,a,
6113,1,17,749,"Laptop HP ProBook 430 G5 i5 - 8250U | 8GB 240GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",HP,ProBook 430 G5,Intel Core i5,Bez wad,Normalne ślady użytkowania,"i5 - 8250U, 6MB Cache, 8 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 2h (używana)",Windows 10 Professional,a,b,b,
10365,1,300,899,"Laptop Panasonic ToughBook CF-31 MK3 i5 - 3340M | 16GB 120GB SSD | 13,3"" 1024 x 768 | Windows 10 Pro [A]","""A"" poleasingowy, przetestowany",Panasonic,ToughBook CF-31 MK3,Intel Core i5,"Delikatne, ledwo widoczne otarcia typowe dla ekranów dotykowych",Normalne ślady użytkowania,"i5 - 3340M, 3MB Cache, 3 gen.",2,16GB,120GB,Windows 7 Professional,Tak,1024 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 10 Professional,a,b,b,
10356,1,100,1099,"Laptop Panasonic ToughBook CF-31 MK5 i5 - 5300U | 16GB 120GB SSD | 13,3"" 1024 x 768 | Windows 10 Pro [A]","""A"" poleasingowy, przetestowany",Panasonic,ToughBook CF-31 MK5,Intel Core i5,"Delikatne, ledwo widoczne otarcia typowe dla ekranów dotykowych",Normalne ślady użytkowania,"i5 - 5300U, 3MB Cache, 5 gen.",2,16GB,120GB,Windows 7 Professional,Tak,1024 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 10 Professional,a,b,b,
4318,1,29,425,"Laptop Dell Latitude E5410 i5 - 430M, | 8GB 240GB SSD | 14"" 1280 x 800 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5410,Intel Core i5,Bez wad,"Normalne ślady użytkowania, możliwy skin na klapie","i5 - 430M, 3MB Cache, 1 gen.",2,8GB,240GB,Windows 7 Professional,Nie,1280 x 800,"14""",Zintegrowana,"Oryginalna, czas pracy min. 0,5h (używana)",Windows 10 Professional,b,b,a,
4086,1,37,425,"Laptop Acer TravelMate P645 i3 - 4010U | 8GB 120GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Pro [A-]","""A-"" poleasingowy, przetestowany",Acer,TravelMate P645,Intel Core i3,"Drobne ryski, otarcia, poświaty",Normalne ślady użytkowania,"i3 - 4010U, 3MB Cache, 4 gen.",2,8GB,120GB,Windows 8.1 PRO,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,b,b,a,
5184,1,43,485,"Laptop Lenovo ThinkPad T440s i5 - 4200U | 8GB 240GB SSD | 14"" 1600 x 900 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T440s,Intel Core i5,"Możliwe małe ryski, poświatka","Normalne, delikatne ślady użytkowania","i5 - 4200U 3MB Cache, 4 gen.",2,8GB,240GB,Windows 7 Professional,Nie,1600 x 900,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
3827,1,492,494,"Laptop Lenovo ThinkPad T440p i5 - 4300M | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T440p,Intel Core i5,"Występują drobne ryski, otarcia, poświatki","Normalne, delikatne ślady użytkowania","i5 - 4300M 3MB Cache, 4 gen.",2,16GB,240GB,Windows 7 Professional,Nie,1366 x 768,"14""",Zintegrowana,Nowy zamiennik,Windows 10 Professional,b,b,a,
5179,1,16,499,"Laptop Dell Latitude E5470 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E5470,Intel Core i5,"Możliwe delikatne otarcia, poświaty","Normalne, delikatne ślady użytkowania, możliwy profesjonalnie przygotowany skin na klapie","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,b,b,a,
10368,1,43,499,"Laptop Lenovo ThinkPad T460 i5 - 6300U | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T460,Intel Core i5,"Drobne ryski, otarcia, poświatki na ekranie!","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,16GB,240GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
4619,1,44,499,"Laptop Fujitsu Lifebook U747 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Fujitsu,Lifebook U747,Intel Core i5,"Występują ryski, otarcia, poświaty","Normalne, delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
10369,1,46,499,"Laptop Lenovo ThinkPad T460s i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T460s,Intel Core i5,"Drobne ryski, otarcia, poświatki na ekranie!",Normalne ślady użytkowania,"i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 11 Pro,b,b,a,
5133,1,50,499,"Laptop Dell Latitude E5440 i5 - 4300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E5440,Intel Core i5,Możliwe poświatki /otarcia na matrycy,Normalne ślady użytkowania,"i5 - 4300U, 3MB Cache, 4 gen.",2,8GB,240GB,Windows 7 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,b,b,a,
5669,1,44,549,"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 128GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,EliteBook 840 G3,Intel Core i5,"Małe ryski, poświatka","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,128GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
4151,1,78,549,"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E7470,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,a,
4927,1,19,555,"Laptop Dell Latitude E7450 i5 - 5300U | 8GB 120GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E7450,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,8GB,120GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
10367,1,44,555,"Laptop Lenovo ThinkPad T460 i5 - 6300U | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T460,Intel Core i5,"Bez wad, nowa matryca!","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,16GB,240GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
5840,1,22,575,"Laptop Lenovo ThinkPad T470 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T470,Intel Core i5,"Możliwe otarcia, poświatka","Normalne, delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,a,
6117,1,11,599,"Laptop Dell Latitude E6440 i5 - 4300M | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E6440,Intel Core i5,Bez wad,Normalne ślady użytkowania,"i5 - 4300M 3MB Cache, 4 gen.",2,16GB,240GB,Windows 7 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,b,b,a,
6122,1,34,599,"Laptop Lenovo ThinkPad T450s i5 - 5300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T450s,Intel Core i5,Bez wad - nowa matryca FHD (brak funkcji regulacji poziomu jasności),"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,8GB,240GB,Windows 7 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,a,
4532,1,41,599,"Laptop Fujitsu Lifebook U747 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Fujitsu,Lifebook U747,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
4957,1,489,649,"Laptop Lenovo ThinkPad T440p i5 - 4300M | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T440p,Intel Core i5,Bez wad - NOWA MATRYCA,"Normalne, delikatne ślady użytkowania","i5 - 4300M 3MB Cache, 4 gen.",2,16GB,240GB,Windows 7 Professional,Nie,1920 x 1080,"14""",Zintegrowana,Nowy zamiennik,Windows 10 Professional,b,b,a,
5315,1,24,655,"Laptop Lenovo ThinkPad T440 i5 - 4300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T440,Intel Core i5,Bez wad,"Normalne, małe ślady użytkowania","i5 - 4300U, 3MB Cache, 4 gen.",2,8GB,240GB,Windows 8.1 PRO,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
6112,1,13,669,"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 128GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,EliteBook 840 G3,Intel Core i5,"Małe ryski, poświatka","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,128GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,a,
5925,1,10,699,"Laptop Lenovo ThinkPad X1 Yoga 1 gen. i5 - 6200U | 8GB 240GB SSD | 14"" 2560 x 1440 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad X1 Yoga 1 gen.,Intel Core i5,"Możliwe otarcia, ryski, poświaty","Normalne, małe ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Tak,2560 x 1440,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,b,b,b,
5760,1,13,699,"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",HP,EliteBook 840 G3,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,b,
5437,1,19,699,"Laptop Dell Latitude E5470 i5 - 6300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5470,Intel Core i5,Bez wad - nowa matryca!,"Normalne, delikatne ślady użytkowania, możliwy profesjonalnie przygotowany skin na klapie","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,b,b,b,
3903,1,79,699,"Laptop Lenovo ThinkPad T470 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T470,Intel Core i5,Bez wad - nowa matryca!,"Normalne, delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,b,
5390,1,89,699,"Laptop Dell Latitude 5480 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5480,Intel Core i5,"Delikatne ryski, otarcia, poświatki","Normalne, delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 11 Pro,b,b,b,
4814,1,196,699,"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1600 x 900 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E7470,Intel Core i5,"Możliwe małe otarcia, poświatka","Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1600 x 900,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,b,
4017,1,21,749,"Laptop Lenovo ThinkPad X1 Yoga 2nd Generation i5 - 7300U | 8GB 256GB SSD | 14"" 2560 x 1440 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad X1 Yoga 2nd Generation,Intel Core i5,"Występują delikatne otarcia, ryski, poświatki","Normalne, małe ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Tak,2560 x 1440,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,b,b,b,
5029,1,28,749,"Laptop Lenovo ThinkPad T480 i5 - 7200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T480,Intel Core i5,"Występują drobne ryski, otarcia, poświatki",Normalne ślady użytkowania,"i5 - 7200U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy min. 2h (używana)",Windows 11 Pro,b,b,b,
5845,1,51,749,"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E7470,Intel Core i5,Bez wad - nowa matryca!,"Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 11 Pro,b,b,b,
4091,1,99,749,"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5490,Intel Core i5,"Delikatne, ledwo widoczne otarcia, mikro poświatki","Normalne,delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1,5h (używana)",Windows 11 Pro,b,b,b,
5862,1,99,749,"Laptop Dell Latitude 5480 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 5480,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 11 Pro,b,b,b,
4937,1,498,749,"Laptop Lenovo ThinkPad T440p i7 - 4600M | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T440p,Intel Core i7,Bez wad - NOWA MATRYCA,"Normalne, delikatne ślady użytkowania","i7 - 4600M, 4MB Cache, 4 gen.",2,16GB,240GB,Windows 7 Professional,Nie,1920 x 1080,"14""",Zintegrowana,Nowy zamiennik,Windows 10 Professional,b,b,b,
5439,1,10,799,"Laptop Dell Latitude 7480 i5 - 6300U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 7480,Intel Core i5,"Możliwe drobne ryski, poświatki",Normalne ślady użytkowania,"i5 - 6300U, 3MB Cache, 6 gen.",2,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,b,
5847,1,10,799,"Laptop Dell Latitude 7480 i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 7480,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,b,
6001,1,32,799,"Laptop Lenovo ThinkPad X1 Yoga 1 gen. i7 - 6600U | 8GB 256GB SSD | 14"" 2560 x 1440 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad X1 Yoga 1 gen.,Intel Core i7,"Występują drobne ryski, otarcia, poświatki","Normalne, małe ślady użytkowania","i7 - 6600U, 4MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Tak,2560 x 1440,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,b,b,b,
4560,1,92,799,"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 5490,Intel Core i5,Bez wad,"Normalne,delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1,5h (używana)",Windows 11 Pro,b,b,b,
5997,1,85,849,"Laptop Lenovo ThinkPad T470 i5 - 6200U | 16GB 480GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T470,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6200U, 3MB Cache, 6 gen.",2,16GB,480GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,b,b,b,
10421,1,30,899,"Laptop Panasonic Toughbook CF-53 i5 - 3340M | 8GB 500GB HDD | 14"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Panasonic,Toughbook CF-53,Intel Core i5,"Drobne ryski, otarcia, poswiatki","Normalne ślady użytkowania, możliwy skin","i5 - 3340M, 3MB Cache, 3 gen.",2,8GB,500GB,Windows 8.1 PRO,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 10 Professional,b,b,b,
6220,1,41,899,"Laptop HP EliteBook 840 G3 i5 - 6300U | 16GB 128GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",HP,EliteBook 840 G3,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 6300U, 3MB Cache, 6 gen.",2,16GB,128GB,Windows 10 Professional,Nie,1366 x 768,"14""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,b,b,
5162,1,46,899,"Laptop Lenovo ThinkPad T460s i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T460s,Intel Core i5,Bez wad,Normalne ślady użytkowania,"i5 - 6300U, 3MB Cache, 6 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,b,b,b,
6115,1,59,900,"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 5490,Intel Core i5,Bez wad,"Normalne,delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Zintegrowana,"Oryginalna, czas pracy min. 1,5h (używana)",Windows 11 Pro,b,b,b,
